custo_medio_venda;faturamento_margem_lucro_liquido;percentual;preco_medio_venda;vei_peso_liquido;vei_produto_codigo_interno;vei_produto_nome;vei_produto_sku;vei_produto_unidade;vei_quantidade;vei_valor_total
7,68;56,554;0,16;12,023;0;16628;GELADINHO AMERICANO SABOR VERAO PACT 40UN;;UN;15;180,35
3,65;36,986;0,16;5;0;11268;CERVEJA ORIGINAL ANTARCTICA 350ml - UNITARIA;;UN;36;180
41,29;45,289;0,16;59,99;0;11898;CERVEJA HEINEKEN SHOT 250ML CAIXA 12UN;;UN;3;179,97
12,5;43,92;0,16;17,99;0;2656;PIRACANJUBA CREME DE LEITE  1,030kg;;UN;10;179,9
10,59;41,549;0,16;14,99;0;11539;SABAO EM PO OMO LAVAGEM PERFEITA SANITIZA HIGIENIZA 800G;;UN;12;179,73
6,21;36,876;0,16;8,5;0;5488;PEPSI REFRIGERANTE 2LT;;UN;21;178,5
6,6;28,636;0,15;8,49;0;19585;AÇUCAR CRISTAL ITAJA 2KG;;UN;21;178,29
6,65;27,669;0,15;8,49;0;4762;REFRI GUARANA ANTARCTICA ZERO AÇUCAR 2L;;UN;21;178,29
168;18,452;0,15;199;0;1367;ELOGIATA OLEO DE ALGODAO 15,8lts;;UN;1;177
115,73;52,069;0,15;175,99;0;4596;OLD PARR GRAND 1L;;UN;1;175,99
7,78;41,26;0,15;10,99;0;2918;CHOCOLATE NESTLE SUFLAIR AO LEITE 80G;;UN;16;175,84
5;39,8;0,15;6,99;0;11118;MANDIOCA CONGELADA DESCASCADA;;UN;25;174,75
4,75;26,105;0,15;5,99;0;15076;REFRIGERANTE JAÓ GUARANA 2L;;UN;29;173,71
18,93;30,503;0,15;24,704;0;18885;CALABRESA FATIADA SAUDALI 1KG;;UN;7;172,93
1;66;0,15;1,66;0;11604;SUCO NUTRI NECTAR UVA 200ML;;UN;104;172,64
2,01;99,005;0,15;4;0;17844;AGUA LA PRIORI 1,5L;;UN;43;172
11,48;65,418;0,15;18,99;0;17362;AGUARDENTE DE CARVALHO 88 - 965ml;;UN;9;170,91
13,5;40,667;0,15;18,99;0;19817;BATATA CHIPS ONDULADA ORIGINAL 250G;;UN;9;170,91
6;41,667;0,15;8,5;0;15683;BISCOITO DE POLVILHO 150g - FAZENDA TABULEIRO;;UN;20;170
8,59;16,298;0,15;9,99;0;6808;LAVA ROUPA LIQUIDO BRILHANTE - SACHE 900ML;;UN;17;169,83
8,99;44,494;0,15;12,99;0;18940;CEBOLITOS 91G;;UN;13;168,87
9,99;20,02;0,15;11,99;0;78983614;SABAO EM PO GEO MULTIAÇÃO 1,6 KG ;;UN;14;166,86
12,89;39,566;0,14;17,99;0;8253;FILEZINHO EMPANADO DE FRANGO SUPER FRANGO 600g;;UN;9;161,91
6,16;45,942;0,14;8,99;0;17774;SMIRNOFF ICE ORIGINAL 275ML;;UN;18;161,82
5,9;43,898;0,14;8,49;0;14245;PAO DE FORMA INTEGRAL BAUDUCCO 390G;;UN;19;161,31
4,75;36,632;0,14;6,49;0;4751;SUKITA UVA 2L;;UN;25;157,93
0,63;58,73;0,14;1;0;78983767;OVO UNIDADE;;UN;157;157
1,85;62,162;0,14;3;0;8306;CERVEJA ITAIPAVA LATA 269ML 1UN;;UN;52;156
12;41,667;0,13;17;0;2283;QUEIJO CURADO RALADO 500G;;UN;9;153
3;49,667;0,13;4,49;0;18931;CHEETOS REQUEIJAO 40G;;UN;34;152,66
5,15;45,631;0,13;7,5;0;19815;BATATA CHIPS LISA RUSTICA  80G;;UN;20;150
33,99;47,073;0,13;49,99;0;11793;FRALDA DESCARTAVEL PANDA HIPER XXG 40FR;;UN;3;149,97
14,99;42,886;0,13;21,419;0;7154;CHICKEN EMPANADO TRADICIONAL SUPER FRANGO 900g;;UN;7;149,93
7,87;33,291;0,13;10,49;0;18735;DORITOS QUEIJO NACHO 75G;;UN;14;146,75
6,75;48;0,13;9,99;0;11139;PRESUNTO FATIADO PERDIGAO 200GR;;UN;15;146,4
9,67;49,845;0,13;14,49;0;8907;TAÇA VINHO/GIN NADIR 615ml;;UN;10;144,9
5,764;47,464;0,13;8,5;0;17762;MORTADELA FATIADA OURO PERDIGAO 200g;;UN;17;144,5
